"","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta"
"11",6305230,"AUTO HOTEL MAX","HOTEL MAX SA DE CV",721113,"Moteles","11 a 30 personas","CALLE","FERNANDO DE ALVA IXTLIXOCHITL","EJE VIAL","CENTRAL (LAZARO CARDENAS)","DIAGONAL","20 DE NOVIEMBRE","CALLE","ÁLVAREZ DE ICAZA",23,"","","",NA,"","COLONIA","OBRERA","","","",6810,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","1040",5,"","","","Fijo",19.42012772,-99.14239331,"2010-07"
"12",6306557,"AUTO HOTEL MITLA","INMOBILIARIA ESCALEIRA SA SA DE CV",721113,"Moteles","31 a 50 personas","AVENIDA","MANUEL SALAZAR","CALLE","ROMAN ÁLVAREZ","CALLE","GENERAL FRANCISCO SARABIA","CALLE","FEDERICO GAMBOA",53,"","","",NA,"","COLONIA","SAN JUAN TLIHUACA","","","",2400,9,"CIUDAD DE MÉXICO",2,"Azcapotzalco",1,"Azcapotzalco","256",5,"","","","Fijo",19.48880883,-99.20784635,"2010-07"
"13",6307716,"AUTO HOTEL ROSSO","INMOBILIARIA CESANTES SA DE CV",721113,"Moteles","11 a 30 personas","EJE VIAL","5 ORIENTE (AVENIDA JAVIER ROJO GOMEZ)","CALLE","BATALLA DE CASABLANCA","CALLE","BATALLA DE LOMA ALTA","CALLE","26 DE ENERO DE 1857",748,"","","",NA,"","COLONIA","LEYES DE REFORMA 3A. SECCION","","","",9310,9,"CIUDAD DE MÉXICO",7,"Iztapalapa",1,"Iztapalapa","407",30,"","AUTOHOTELROSSO@PRODIGY.NET.MX","","Fijo",19.38115708,-99.07651126,"2010-07"
"14",6305291,"AUTO HOTEL SUPERSTAR","AUTO HOTEL SUPERSTAR SA DE CV",721113,"Moteles","11 a 30 personas","AVENIDA","NORTE","CALLE","2","CALLE","1","CALLE","TALLERES GRÁFICOS",140,"","","",0,"","COLONIA","AGRICOLA PANTITLAN","","","",8100,9,"CIUDAD DE MÉXICO",6,"Iztacalco",1,"Iztacalco","001A",6,"","AUTOHOTELSUPERSTAR@GMAIL.COM","","Fijo",19.41096632,-99.0685627,"2010-07"
"15",6313800,"AZUL IXTAPA","BANCOMER  FIDEICOMISO F21785 AZUL IXTAPA SA",721111,"Hoteles con otros servicios integrados","11 a 30 personas","CALLE","NICOLÁS SAN JUAN","CALLE","SAN BORJA","EJE VIAL","5 SUR (EUGENIA)","CALLE","HERIBERTO FRÍAS",902,"","","",NA,"","COLONIA","DEL VALLE","","","",3100,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","416",2,"","","WWW.AZULIXTAPA.COM.MX","Fijo",19.38613251,-99.16262874,"2010-07"
"16",9318135,"BEST WESTERN","B-W INTERNATIONAL LICENSING MEXICO SA DE CV",721111,"Hoteles con otros servicios integrados","0 a 5 personas","EJE VIAL","4 SUR (XOLA)","CALLE","MIER Y PESADO","CALLE","ADOLFO PRIETO","CALLE","ROMERO DE TERREROS",535,"","","",NA,"","COLONIA","DEL VALLE NORTE","EDIFICIO COMERCIAL Y DE SERVICIOS","TORRE AXA","401 Y 402",3103,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","242",5,"","","","Fijo",19.39705778,-99.16534011,"2020-11"
"17",6697843,"BLOCK SUITES HOTEL","BLOCK SUITES SA DE CV",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","AVENIDA","CHAPULTEPEC","EJE VIAL","2 PONIENTE (MONTERREY)","AVENIDA","CHAPULTEPEC","AVENIDA","OAXACA",346,"","","",NA,"","COLONIA","ROMA NORTE","","","",6700,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","998",11,"","BLOCKSUITES@GMAIL.COM","WWW.BLOCKSUITE.COM","Fijo",19.42286749,-99.16509677,"2016-01"
"18",6258536,"BOPPARD","BOPPARD S DE RL DE CV",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","CALZADA","ACOXPA","CALZADA","LINDER0","CALLE","PRIMERA CERRADA DE ACOXPA","AVENIDA","LA GARITA",889,"","","",0,"","COLONIA","RESIDENCIAL VILLACOAPA","","","",14390,9,"CIUDAD DE MÉXICO",12,"Tlalpan",1,"Tlalpan","731",8,"","","","Fijo",19.29010119,-99.11884059,"2014-12"
"19",734264,"BREOGAN SUITES MOTEL","PORTACOBAS SUITES SA DE CV",721113,"Moteles","11 a 30 personas","OTRO (ESPECIFIQUE)","SIN REFERENCIA","CALLE","JAVIER SANTA MARIA (ANTONIO PLAZA)","CALLE","HIDALGO","CALLE","GALEANA",2617,"","","",NA,"","COLONIA","PUEBLO DE  SANTA CRUZ MEYEHUALCO","","","",9700,9,"CIUDAD DE MÉXICO",7,"Iztapalapa",1,"Iztapalapa","1655",2,"5526087475","BREOGANSUITES@HOTMAIL.COM","","Fijo",19.34197812,-99.05142606,"2014-12"
"20",6259156,"BUSUE HOTEL","OPERADORA TURISTICA ORIGEN SA DE CV",721111,"Hoteles con otros servicios integrados","11 a 30 personas","CALLE","EUGENIO SUE","AVENIDA","EMILIO CASTELAR","AVENIDA","PRESIDENTE MASARYK","CALLE","ARISTÓTELES",45,"","","",0,"","COLONIA","CHAPULTEPEC POLANCO","","","",NA,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","779",6,"","RESERVACIONES@BUSUEHOTEL.COM","WWW.BUSUEHOTEL.COM","Fijo",19.43047808,-99.19436554,"2010-07"
"21",6307114,"CAMINO REAL","OPERADORA REAL CADIZ SA DE CV",721112,"Hoteles sin otros servicios integrados","251 y más personas","CALLE","FUNDIDORA MONTERREY","CALLE","PUERTO MÉXICO","CALLE","CHIMALHUACÁN","CALLE","PUERTO MÉXICO",89,"","","",0,"","COLONIA","PE ON DE LOS BA OS","OTRO CONGLOMERADO","HOTEL CAMINO REAL","SN",15520,9,"CIUDAD DE MÉXICO",17,"Venustiano Carranza",1,"Venustiano Carranza","475",12,"","ADRIAN.VEGA@CAMINOREAL.COM.MX","WWW.CAMINOREAL.COM.MX","Fijo",19.43578832,-99.08520292,"2014-12"
"22",6870208,"CAMINO REAL PEDREGAL","ADMINISTRADORA DE HOTELES GRT SA DE CV",721111,"Hoteles con otros servicios integrados","101 a 250 personas","PERIFERICO","PERIFERICO SUR","CALLE","ROBERTO FULTON","CALLE","FERNANDO  MONTES DE OCA","CALLE","HENRY FORD",3647,"","","",NA,"","COLONIA","HEROES DE PADIERNA","","","",10700,9,"CIUDAD DE MÉXICO",8,"La Magdalena Contreras",1,"La Magdalena Contreras","283",31,"","JORGE.ROBLES@CAMINOREAL.COM.MX","WWW.CAMINOREAL.COM.MX","Fijo",19.31408667,-99.22093259,"2019-04"
"23",6315143,"CAMINO REAL POLANCO MEXICO","ADMINISTRADORA DE HOTELES GRT SA DE CV",721111,"Hoteles con otros servicios integrados","251 y más personas","AVENIDA","GENERAL MARIANO ESCOBEDO","CALLE","EMMANUEL KANT","CALLE","VÍCTOR HUGO","CALLE","LEIBNITZ",700,"","","",0,"","COLONIA","ANZURES","","","",11590,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","068A",22,"","","","Fijo",19.42765046,-99.17949611,"2010-07"
"24",6317395,"CAMINO REAL SANTA FE","ADMINISTRADORA DE HOTELES GRT SA DE CV",721111,"Hoteles con otros servicios integrados","101 a 250 personas","AVENIDA","GUILLERMO GONZÁLEZ CAMARENA","CALLE","SANTA FE","CALLE","ERNESTO DOMÍNGUEZ A.","CALLE","SANTA FE",300,"","","",NA,"","COLONIA","CENTRO CIUDAD SANTA FE","","","",1210,9,"CIUDAD DE MÉXICO",10,"Álvaro Obregón",1,"Álvaro Obregón","1542",41,"","","","Fijo",19.36780209,-99.26149239,"2011-03"
"25",762692,"CANTOTEL","CANTOTEL SA DE CV",721111,"Hoteles con otros servicios integrados","0 a 5 personas","CALLE","MONTES URALES NORTE","CALLE","VOSGOS","CALLE","TEAPA","CALLE","PEDREGAL",720,"","720","PISO 1",NA,"","COLONIA","LOMAS DE CHAPULTEPEC","","","",11000,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","745",2,"","ASSISTANT@LACASAQUECANTA.COM","","Fijo",19.43056633,-99.20237906,"2010-07"
"26",6309526,"CASA CASTELAR","ARRENDAMIENTO ESPECIALIZADO TURISTICO SA DE CV",721111,"Hoteles con otros servicios integrados","31 a 50 personas","CALLE","GALILEO","AVENIDA","CAMPOS ELÍSEOS","AVENIDA","EMILIO CASTELAR","CALLE","TEMÍSTOCLES",34,"","","",0,"","COLONIA","POLANCO CHAPULTEPEC","","","",11560,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","779",9,"","D_MIGUELL@HOTMAIL.COM","","Fijo",19.42956607,-99.19298587,"2010-07"
"27",8327055,"CASA COMTESE","",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","EJE VIAL","4 SUR (BENJAMIN FRANKLIN)","CALLE","ALTATA","CALLE","OMETUSCO","CALLE","ALTATA",197,"","","",NA,"","COLONIA","HIPODROMO","","","",6100,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","1426",12,"","CONTACT@CASACOMTESSE.COM","WWW.CASACOMTESSE","Fijo",19.40455566,-99.17388774,"2019-11"
"28",9073936,"CASA DE HUESPEDES LOS REYES","",721112,"Hoteles sin otros servicios integrados","0 a 5 personas","CERRADA","SEGUNDA HOMBRES ILUSTRES","PRIVADA","NINGUNO","PRIVADA","PRIMERA CERRADA HOMBRES ILUSTRES","CALLE","HOMBRES ILUSTRES",25,"","","",NA,"","PUEBLO","SANTA CECILIA TEPETLAPA","","","",16880,9,"CIUDAD DE MÉXICO",13,"Xochimilco",1,"Xochimilco","064A",5,"","","","Fijo",19.21900149,-99.10167287,"2019-11"
"29",884671,"CENTRO DE SERVICIOS COMPARTIDOS SA DE CV","CENTRO DE SERVICIOS COMPARTIDOS SA DE CV",721112,"Hoteles sin otros servicios integrados","251 y más personas","CALLE","SABINO","CALLE","5","CALLE","5","CALLE","5",329,"","","",0,"","COLONIA","SANTA MARIA LA RIBERA","EDIFICIO COMERCIAL Y DE SERVICIOS","","",6400,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","017A",11,"","EFREN.MORENO@XPERTAL.COM","","Fijo",19.45582494,-99.15863336,"2014-12"
"30",6749924,"CHAYA BED BREAKFAST BOUTIQUE","BANANA CONSULTING SA DE CV",721111,"Hoteles con otros servicios integrados","11 a 30 personas","CALLE","DOCTOR MORA","AVENIDA","HIDALGO","CALLE","CRISTÓBAL COLÓN","AVENIDA","BALDERAS",9,"","","",0,"","COLONIA","CENTRO ZOCALO DF","","","",6050,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","733",5,"","","WWW.CHAYABB.COM","Fijo",19.436146,-99.14619203,"2016-10"
"31",6200973,"CITY EXPRESS","PROMOTORA PLAZA SOL SA DE CV",721111,"Hoteles con otros servicios integrados","11 a 30 personas","AVENIDA","UNIVERSIDAD","AVENIDA","8 SUR  POPOCATÉPETL","CALLE","NINGUNO","CALLE","NINGUNO",1038,"","","",0,"","COLONIA","XOCO","","","",3330,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","952",5,"","NGONZALEZ@HOTELESCITY.COM","WWW.HOTELESCITY.COM","Fijo",19.3661585,-99.16755393,"2014-12"
"32",6325381,"CITY EXPRESS","CITY EXPRESS",721112,"Hoteles sin otros servicios integrados","0 a 5 personas","CALLE","JAMES SULLIVAN","CALLE","MIGUEL SCHULTZ","CALLE","SERAPIO RENDON","CALLE","MAESTRO ANTONIO CASO",35,"","","",NA,"","COLONIA","SAN RAFAEL","","","",6470,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","697",13,"","","","Fijo",19.43321825,-99.16120417,"2010-07"
"33",6874961,"CITY EXPRESS CDMX","PROMOTORA PLAZA SOL SA DE CV",721111,"Hoteles con otros servicios integrados","101 a 250 personas","CALLE","REPÚBLICA DE URUGUAY","CALLE","5","CALLE","5","CALLE","5",45,"","","",0,"","COLONIA","CENTRO HISTORICO","PASAJE Y ANDADOR COMERCIAL","","",6000,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","818",3,"","N.GONZALEZ@HOTELESCITY.COM","WWW.HOTELESCITY.COM","Fijo",19.43059574,-99.13786037,"2019-04"
"34",6722073,"CITY EXPRESS CENTRAL DE ABASTO","PROMOTORA PLAZA SOL SA DE CV",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","AVENIDA","6 SUR TRABAJADORAS SOCIALES","CALLE","HUALQUILA","CALLE","SIN REFERENCIA","CALLE","HUALQUILA",540,"","","",0,"","COLONIA","CENTRAL DE ABASTO CDMX","","","",9040,9,"CIUDAD DE MÉXICO",7,"Iztapalapa",1,"Iztapalapa","2475",23,"","NGONZALEZ@HOTELESCITY.COM","WWW.HOTELESCITY.COM","Fijo",19.36839651,-99.10029303,"2016-01"
"35",6318412,"CITY EXPRESS EBC","PROMOTORA PLAZA SOL SA DE CV",721111,"Hoteles con otros servicios integrados","11 a 30 personas","CALLE","HAVRE","CALLE","HAMBURGO","AVENIDA","PASEO DE LA REFORMA","CALLE","NIZA",21,"","","",0,"","COLONIA","JUÁREZ","","","",6600,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","803",10,"","NGONZALEZ@HOTELESCITY.COM","WWW.HOTELESCITY.COM","Fijo",19.42768592,-99.16188647,"2010-07"
"36",6317244,"CITY EXPRESS HOTELE BUENAVISTA","OPERADORA DE HOTELES NUALVA SA DE CV",721111,"Hoteles con otros servicios integrados","101 a 250 personas","AVENIDA","INSURGENTES NORTE","CALLE","SALVADOR DÍAZ MIRÓN","EJE VIAL","1 NORTE (JOSÉ ANTONIO ALZATE)","CALLE","DOCTOR MARIANO AZUELA",226,"","","",NA,"","COLONIA","SANTA MARÍA LA RIBERA","","","",6400,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","485",14,"","CEBNV.CONTADOR@CITYEXPRESS.COM","","Fijo",19.44712194,-99.15324574,"2012-06"
"37",6883647,"CITY EXPRESS LA RAZA","PROMOTORA PLAZA SOL SA DE CV",721111,"Hoteles con otros servicios integrados","11 a 30 personas","CALZADA","1 PONIENTE (CALZADA VALLEJO)","CALLE","CUAUHTÉMOC","AVENIDA","ANTONIO VALERIANO","CALLE","32",296,"","","",0,"","COLONIA","SAN FRANCISCO XOCOTITLA","","","",2960,9,"CIUDAD DE MÉXICO",2,"Azcapotzalco",1,"Azcapotzalco","580",18,"","","WWW.HOTELESCITY.COM","Fijo",19.46802168,-99.14418622,"2019-04"
"38",6734182,"CITY EXPRESS PLUS SANTA FE","PROMOTORA PLAZA SOL SA DE CV",721111,"Hoteles con otros servicios integrados","251 y más personas","AVENIDA","JUAN SALVADOR AGRAZ","AVENIDA","VASCO DE QUIROGA","AVENIDA","CARLOS GRAEF FERNANDEZ","AVENIDA","LIVERPOOL",69,"","EDIFICIO SIN NOMBRE","PISO 12",0,"","COLONIA","ZEDEC SANTA FE","EDIFICIO COMERCIAL Y DE SERVICIOS","HOTELES CITY","",5348,9,"CIUDAD DE MÉXICO",4,"Cuajimalpa de Morelos",1,"Cuajimalpa de Morelos","369",4,"","CSSFE.CONTADOR@CITYSUITES.COM.MX","WWW.CITYEXPRESS.COM","Fijo",19.35891229,-99.27807572,"2016-10"
"39",690829,"CITY EXPRESS SUITES ANZURES","PROMOTORA PLAZA SOL SA DE CV",721111,"Hoteles con otros servicios integrados","11 a 30 personas","CALLE","LEIBNITZ","CALLE","CALZADA MARIANO ESCOBEDO","CALLE","LEIBNITZ","CALLE","DARWIN",120,"","","",0,"","COLONIA","ANZURES","","","",11590,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","068A",21,"","NGONZALEZ@HOTELESCITY.COM","WWW.HOTELESCITY.COM","Fijo",19.4292101,-99.17848739,"2014-12"
"40",6814119,"CITY PLUS PERIFERICO SUR TLALPAN","PROMOTORA PLAZA SOL SA DE CV",721111,"Hoteles con otros servicios integrados","101 a 250 personas","PERIFERICO","ANILLO  ADOLFO RUIZ CORTINES","CALLE","FORESTAL","PRIVADA","LAS FLORES","CERRADA","LAS FLORES",4860,"","","",0,"","COLONIA","GUADALUPE","","","",14388,9,"CIUDAD DE MÉXICO",12,"Tlalpan",1,"Tlalpan","981",3,"","NGONZALEZ@HOTELESCITY.COM","WWW.HOTELESCITY.COM","Fijo",19.28686592,-99.14868326,"2017-11"
"41",6327119,"CLUB MED","OPERADORA DE ALDEAS VACACIONALES SA DE CV",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","AVENIDA","EJÉRCITO NACIONAL MEXICANO","CALLE","HEGEL","CALLE","LOPE DE VEGA","AVENIDA","HOMERO",418,"","1","PISO 5",0,"","COLONIA","POLANCO V SECC","","","",11520,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","783",22,"","JAZMIN.DURAN@CLUBMED.COM","WWW.CLUBMED.COM.MX","Fijo",19.43129167,-99.18553996,"2010-07"
"42",6811081,"COMPAÑIA HOTELERA VILLA BLANCA","COMPAÑIA HOTELERA VILLA BLANCA SA DE CV",721112,"Hoteles sin otros servicios integrados","6 a 10 personas","CALLE","PASEO DE LA REFORMA","CALLE","SIN REFERENCIA","CALLE","BOSQUE DE LOS TABACHINES","AVENIDA","BOSQUE DE LOS TABACHINES",90,"","PASEO DE REFORMA 412","PISO 6",0,"","COLONIA","BOSQUES DE LAS LOMAS","EDIFICIO COMERCIAL Y DE SERVICIOS","TORRE II","",5120,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","945",7,"","CONSUELO_PENAFIEL@CORPOINSESC.COM","","Fijo",19.42492048,-99.17096683,"2017-11"
"43",6317077,"CONDESA DF HOTEL","HOTEL HABITA SA DE CV",721111,"Hoteles con otros servicios integrados","101 a 250 personas","CALLE","GUADALAJARA","CALLE","PARQUE ESPAÑA","CALLE","COLIMA","AVENIDA","VERACRUZ",103,"","","",NA,"","COLONIA","CONDESA","","","",6700,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","1182",9,"","","WWW.GRUPOHABITA.MX","Fijo",19.41621443,-99.17187569,"2010-07"
"44",8286697,"CONSORCIO HOTELERO AB SA DE CV","CONSORCIO HOTELERO AB SA DE CV",721111,"Hoteles con otros servicios integrados","101 a 250 personas","AVENIDA","AVENIDA INSURGENTES SUR","CALLE","RAFAEL CHECA","CALLE","RÍO CHICO","CALLE","MANUEL M. PONCE",1673,"","","",301,"","COLONIA","GUDALUPE INN","","","",1020,9,"CIUDAD DE MÉXICO",10,"Álvaro Obregón",1,"Álvaro Obregón","987",21,"","RCOSS@GRUPOOLMECA.COM","","Fijo",19.36151924,-99.18310774,"2019-11"
"45",6322787,"CONTROLADORA CABI","FIDEICOMISO F 1596 S DE RL DE CV",721111,"Hoteles con otros servicios integrados","0 a 5 personas","AVENIDA","SANTA FE","CALLE","NINGUNO","CALLE","NINGUNO","AVENIDA","MÉXICOTOLUCA",481,"","WORLD PLAZA","PISO 7",0,"","COLONIA","CRUZ MANCA","","","",5349,9,"CIUDAD DE MÉXICO",4,"Cuajimalpa de Morelos",1,"Cuajimalpa de Morelos","369",71,"","","WWW.FIBRAHOTEL.COM","Fijo",19.35922225,-99.27167611,"2010-07"
"46",6226666,"CORPORATE HOUSING ST ISIDRO","SCHANA SA DE CV",721112,"Hoteles sin otros servicios integrados","6 a 10 personas","CALLE","SAN ISIDRO","PERIFERICO","BOULEVARD MANUEL ÁVILA CAMACHO","CALLE","CERRADA TECAMACHALCO","CALLE","PALOMAS",63,"","","",NA,"","COLONIA","REFORMA SOCIAL","","","",11650,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","730",18,"","","","Fijo",19.43386451,-99.21223234,"2010-07"
"47",6310652,"CORPORATIVO","HOTEL HABITA SA DE CV",721111,"Hoteles con otros servicios integrados","51 a 100 personas","CALLE","LAFAYETTE","CALLE","SHAKESPEARE","EJE VIAL","3 PONIENTE (THIERS)","CALLE","GUTEMBERG",28,"","","",0,"","COLONIA","ANZURES","","","",11590,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","707",4,"","ESORIA@HOTELHABITA.COM","WWW.GRUPOHABITAMX","Fijo",19.43302529,-99.17759602,"2010-07"
